
Naive Bayes Classifier

                Class
Attribute           A      C      D      E      F      G      H      L      P      R
                  (0)    (0) (0.12) (0.12)  (0.1) (0.15) (0.12) (0.07) (0.15) (0.17)
=====================================================================================
OBJNUM
  34.71            1.0    1.0    2.0    1.0    1.0    3.0    1.0    1.0    1.0    2.0
  34.79            1.0    1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0    2.0
  34.83            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  34.93            1.0    1.0    1.0    1.0    1.0    4.0    1.0    1.0    1.0    4.0
  35               1.0    1.0    9.0    4.0    3.0    1.0    1.0    2.0   25.0    5.0
  35.01            1.0    1.0    6.0   10.0    6.0    1.0    1.0    5.0    1.0   12.0
  35.06            1.0    1.0   13.0    6.0    2.0    1.0    1.0    1.0    1.0    8.0
  35.11            1.0    1.0    1.0    1.0    1.0    4.0    1.0    1.0    1.0    1.0
  35.44            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    3.0
  35.47            1.0    1.0    3.0    1.0    1.0    1.0    1.0    1.0    2.0    2.0
  35.69            1.0    1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  35.85            1.0    1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  35.9             1.0    1.0    1.0    1.0    1.0    4.0    1.0    1.0    1.0    2.0
  36               1.0    1.0   11.0    3.0    5.0    1.0    1.0    1.0   29.0   11.0
  36.01            1.0    1.0    9.0    5.0    4.0    1.0    1.0    3.0    1.0    8.0
  36.06            1.0    1.0   13.0    4.0    3.0    1.0    1.0    1.0    1.0   13.0
  36.24            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0    1.0
  36.25            1.0    1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  36.4             1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    3.0
  36.5             1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0    1.0
  36.67            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0    1.0
  36.69            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0
  37               1.0    1.0    8.0    4.0    4.0    3.0    1.0    1.0   21.0   17.0
  37.01            1.0    1.0    7.0    9.0    6.0    1.0    1.0    4.0    1.0    8.0
  37.05            1.0    1.0    4.0    2.0    3.0    1.0    1.0    3.0    1.0    6.0
  37.11            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0
  37.22            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  37.34            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0    1.0
  37.64            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0    2.0
  37.7             1.0    1.0    1.0    1.0    1.0    3.0    1.0    1.0    1.0    1.0
  37.95            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    4.0    2.0
  38               1.0    1.0    5.0    1.0    2.0    1.0    1.0    1.0   23.0    5.0
  38.01            1.0    1.0    9.0    4.0    4.0    1.0    1.0    3.0    1.0   15.0
  38.05            1.0    1.0    9.0    2.0    4.0    1.0    1.0    2.0    1.0   10.0
  38.28            1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0
  38.33            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0    1.0
  38.48            1.0    1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  38.6             1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0
  38.63            1.0    1.0    1.0    1.0    1.0    4.0    1.0    1.0    2.0    1.0
  38.64            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  38.9             1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    3.0    1.0
  38.91            1.0    1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  39               1.0    1.0   11.0    4.0    3.0    2.0    1.0    1.0   37.0   10.0
  39.01            1.0    1.0   12.0    5.0    3.0    1.0    1.0    2.0    1.0    6.0
  39.05            1.0    1.0   11.0    5.0    1.0    1.0    1.0    2.0    1.0    7.0
  39.22            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    4.0    1.0
  39.4             1.0    1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  39.56            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    3.0    1.0
  39.66            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  39.81            1.0    1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  39.92            1.0    1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  40               1.0    1.0    1.0    4.0    2.0    1.0    1.0    1.0    1.0    1.0
  40.01            1.0    1.0    1.0    4.0    2.0    1.0    1.0    1.0    1.0    1.0
  40.05            1.0    1.0    1.0    3.0    2.0    1.0    1.0    1.0    1.0    1.0
  40.16            1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    2.0    2.0
  40.31            1.0    1.0    1.0    1.0    1.0    3.0    1.0    1.0    1.0    1.0
  40.36            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  40.45            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0
  40.5             1.0    1.0    1.0    1.0    1.0    5.0    1.0    1.0    1.0    1.0
  40.72            1.0    1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  40.8             1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0
  40.85            1.0    1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  41               1.0    1.0    1.0    4.0    2.0    1.0    1.0    2.0    1.0    1.0
  41.01            1.0    1.0    1.0    2.0    2.0    1.0    1.0    1.0    1.0    1.0
  41.05            1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  41.11            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    3.0
  41.23            1.0    1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  41.44            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    4.0
  41.48            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0    1.0
  41.76            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    3.0    1.0
  41.77            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0
  42               1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  42.01            1.0    1.0    1.0    3.0    2.0    1.0    1.0    2.0    1.0    1.0
  42.38            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0    1.0
  42.54            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0
  42.76            1.0    1.0    1.0    1.0    1.0    3.0    1.0    1.0    1.0    1.0
  43               1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0    1.0    1.0
  43.01            1.0    1.0    1.0    1.0    1.0    1.0    1.0    4.0    2.0    1.0
  43.05            1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0    1.0    1.0
  43.08            1.0    1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  43.32            1.0    1.0    1.0    1.0    1.0    3.0    1.0    1.0    1.0    1.0
  43.38            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  43.46            1.0    1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  43.97            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0
  44               1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  44.01            1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    2.0
  44.05            1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  44.27            1.0    1.0    1.0    1.0    1.0    3.0    1.0    1.0    1.0    1.0
  44.38            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0
  44.6             1.0    1.0    1.0    1.0    1.0    3.0    1.0    1.0    1.0    1.0
  44.94            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0    1.0
  45.01            1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  45.19            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0
  45.54            1.0    1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0    2.0
  45.88            1.0    1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  46.49            1.0    1.0    1.0    1.0    1.0    3.0    1.0    1.0    2.0    1.0
  46.82            1.0    1.0    1.0    1.0    1.0    3.0    1.0    1.0    1.0    1.0
  46.84            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0
  47               1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  47.04            1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  47.17            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0    1.0
  47.43            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0    2.0
  47.76            1.0    1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  48.1             1.0    1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  50.6             1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0
  52.81            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0
  [total]        466.0  466.0 2897.0 2966.0 2466.0 3479.0 2966.0 1966.0 3455.0 3969.0

DIAG
  13.42            1.0    1.0    1.0    1.0    1.0   17.0    1.0    4.0    1.0    1.0
  13.89            1.0    1.0    1.0    1.0    1.0   24.0    1.0    1.0    1.0    1.0
  14.42            1.0    1.0    1.0    1.0    1.0   27.0    1.0    1.0    1.0    1.0
  15               1.0    1.0    1.0    1.0    1.0   20.0    1.0    1.0    1.0    1.0
  15.23            1.0    1.0    1.0    1.0    1.0    1.0    1.0    4.0    1.0    1.0
  15.26            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  15.62            1.0    1.0    1.0    1.0    5.0   15.0    1.0    1.0    1.0    1.0
  15.65            1.0    1.0    1.0    1.0    1.0    7.0    1.0    1.0    1.0    1.0
  16.12            1.0    1.0    1.0    1.0    1.0   32.0    1.0    1.0    1.0    1.0
  16.16            1.0    1.0    1.0    1.0    1.0    1.0    1.0    7.0    1.0    1.0
  16.28            1.0    1.0    1.0    6.0    1.0   20.0    1.0    1.0    1.0    1.0
  16.55            1.0    1.0    1.0    1.0    1.0    1.0    1.0    4.0    1.0    1.0
  16.64            1.0    1.0    1.0    1.0    1.0   18.0    1.0    1.0    1.0    1.0
  16.97            1.0    1.0    1.0    1.0    1.0   15.0    1.0    1.0    1.0    1.0
  17.09            1.0    1.0    1.0    1.0    1.0    1.0    1.0    4.0    1.0    1.0
  17.2             1.0    1.0    1.0    1.0    1.0    7.0    1.0    1.0    1.0    1.0
  17.46            1.0    1.0    1.0    1.0    5.0   11.0    1.0    4.0    1.0    1.0
  17.49            1.0    1.0    1.0    1.0    1.0    1.0    6.0    1.0    1.0    1.0
  17.69            1.0    1.0    1.0    1.0    5.0   15.0    1.0    1.0    1.0    1.0
  17.8             1.0    1.0    1.0    6.0    5.0   11.0    1.0    1.0    1.0    1.0
  17.89            1.0    1.0    1.0    1.0    1.0   17.0    1.0    1.0    1.0    1.0
  18.03            1.0    1.0    1.0    1.0    1.0    1.0    1.0    7.0    1.0    1.0
  18.36            1.0    1.0    1.0    1.0    1.0   25.0    1.0    1.0    1.0    1.0
  18.38            1.0    1.0    1.0    1.0    5.0    1.0    1.0    1.0    1.0    1.0
  18.44            1.0    1.0    1.0    1.0   13.0   14.0    1.0    4.0    1.0    1.0
  18.6             1.0    1.0    1.0    1.0    5.0    1.0    1.0    1.0    1.0    1.0
  18.79            1.0    1.0    1.0    1.0    1.0    1.0    1.0    7.0    1.0    1.0
  18.87            1.0    1.0    1.0    6.0    1.0   37.0    1.0    4.0    1.0    1.0
  18.97            1.0    1.0    1.0    1.0    1.0    1.0    1.0    4.0    1.0    1.0
  19.1             1.0    1.0    1.0   11.0    5.0    6.0    1.0    1.0    1.0    1.0
  19.21            1.0    1.0    1.0    1.0    5.0    8.0    1.0    1.0    1.0    1.0
  19.24            1.0    1.0    1.0    1.0    1.0    1.0    1.0   10.0    1.0    1.0
  19.31            1.0    1.0    1.0    1.0    1.0    1.0    1.0   13.0    1.0    1.0
  19.42            1.0    1.0    1.0    6.0    5.0   20.0    1.0    4.0    1.0    1.0
  19.7             1.0    1.0    1.0    1.0    1.0    6.0    1.0    1.0    1.0    1.0
  19.8             1.0    1.0    1.0    1.0    1.0   14.0    1.0    1.0    1.0    1.0
  19.85            1.0    1.0    1.0    6.0    5.0    1.0    1.0    1.0    1.0    1.0
  19.92            1.0    1.0    1.0    1.0    1.0    1.0    1.0    7.0    1.0    1.0
  20               1.0    1.0    1.0    6.0    5.0   13.0    1.0    1.0    1.0    1.0
  20.12            1.0    1.0    1.0    6.0    1.0    6.0    1.0    4.0    1.0    1.0
  20.25            1.0    1.0    1.0    1.0   13.0    1.0    1.0    7.0    1.0    1.0
  20.52            1.0    1.0    1.0   11.0    9.0    1.0    1.0    4.0    1.0    1.0
  20.59            1.0    1.0    1.0    1.0    5.0   29.0    1.0    7.0    1.0    1.0
  20.62            1.0    1.0    1.0    1.0    5.0    7.0    6.0    7.0    1.0    1.0
  21.02            1.0    1.0    1.0    1.0    5.0    1.0    1.0    1.0    1.0    1.0
  21.1             1.0    1.0    1.0    1.0    1.0   27.0    6.0    4.0    1.0    1.0
  21.19            1.0    1.0    1.0    1.0    5.0    1.0    1.0    1.0    1.0    1.0
  21.21            1.0    1.0    1.0    1.0    5.0    1.0    1.0    1.0    1.0    1.0
  21.26            1.0    1.0    1.0    1.0    5.0    7.0    1.0    4.0    1.0    1.0
  21.4             1.0    1.0    1.0    1.0    5.0    1.0    1.0    4.0    1.0    1.0
  21.47            1.0    1.0    1.0    6.0    5.0    1.0    1.0    4.0    1.0    1.0
  21.63            1.0    1.0    1.0    1.0    1.0   25.0    1.0    4.0    1.0    1.0
  21.84            1.0    1.0    1.0    1.0    1.0    1.0    1.0    4.0    1.0    1.0
  21.93            1.0    1.0   17.0    6.0    1.0   13.0    1.0    4.0    1.0    1.0
  21.95            1.0    1.0    1.0   11.0    5.0    1.0    6.0    1.0    1.0    1.0
  22.02            1.0    1.0    1.0    1.0    5.0    1.0    1.0    4.0    1.0    1.0
  22.14            1.0    1.0    1.0    1.0    1.0    1.0    1.0    4.0    1.0    1.0
  22.2             1.0    1.0    1.0    6.0    1.0    7.0    1.0    4.0    1.0    1.0
  22.36            1.0    1.0   56.0    1.0    5.0   44.0    1.0    1.0    1.0    1.0
  22.47            1.0    1.0    1.0    1.0    1.0    1.0    1.0   13.0    1.0    1.0
  22.63            1.0    1.0    1.0    1.0    5.0    7.0    6.0    1.0    1.0    1.0
  22.67            1.0    1.0    1.0    6.0    1.0    1.0    1.0    1.0    1.0    1.0
  22.8             1.0    1.0    1.0   16.0    1.0   27.0    6.0    4.0    1.0    1.0
  22.83            1.0    1.0    1.0    1.0    1.0   25.0    6.0    7.0    1.0    1.0
  22.85            1.0    1.0    5.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  23.02            1.0    1.0    1.0    6.0    1.0    1.0    1.0    4.0    1.0    1.0
  23.09            1.0    1.0    1.0    1.0    1.0    1.0    6.0    1.0    1.0    1.0
  23.26            1.0    1.0   59.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  23.32            1.0    1.0   20.0    1.0    1.0    7.0    1.0    1.0    1.0    1.0
  23.35            1.0    1.0    1.0    1.0    1.0    1.0    1.0    7.0    1.0    1.0
  23.41            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  23.43            1.0    1.0    1.0    1.0   13.0    1.0    1.0    1.0    1.0    1.0
  23.6             1.0    1.0    1.0   11.0    1.0    1.0    1.0    4.0    1.0    1.0
  23.71            1.0    1.0   10.0    1.0    1.0    1.0    1.0    4.0    1.0    1.0
  23.77            1.0    1.0    1.0    1.0    1.0    1.0    1.0    4.0    1.0    1.0
  23.85            1.0    1.0   11.0    1.0    5.0   20.0    6.0    4.0    1.0    1.0
  24.04            1.0    1.0    1.0    6.0    1.0    1.0    6.0    7.0    1.0    1.0
  24.08            1.0    1.0    1.0    6.0   13.0   11.0    1.0    1.0    1.0    1.0
  24.17            1.0    1.0   21.0    1.0    1.0    6.0    1.0    4.0    1.0    1.0
  24.19            1.0    1.0    7.0    1.0    5.0    1.0    1.0    1.0    1.0    1.0
  24.21            1.0    1.0    1.0    6.0    1.0    1.0    6.0    1.0    1.0    1.0
  24.41            1.0    1.0    1.0    6.0   13.0   14.0    6.0    1.0    1.0    1.0
  24.6             1.0    1.0   57.0    6.0    1.0   11.0    1.0    4.0    1.0    1.0
  24.7             1.0    1.0    5.0   11.0    5.0    1.0    6.0    4.0    1.0    1.0
  24.74            1.0    1.0    1.0    1.0    1.0    1.0    1.0    7.0    1.0    1.0
  24.76            1.0    1.0    1.0    6.0    5.0    1.0    1.0    1.0    1.0    1.0
  24.84            1.0    1.0    1.0    6.0   17.0    1.0    1.0    7.0    1.0    1.0
  25               1.0    1.0    6.0   16.0    9.0   17.0    6.0    4.0    1.0    1.0
  25.06            1.0    1.0    1.0    1.0    9.0   21.0    1.0    4.0    1.0    1.0
  25.08            1.0    1.0    9.0    1.0    5.0    1.0    1.0    7.0    1.0    1.0
  25.24            1.0    1.0   12.0    1.0    5.0    1.0    1.0    1.0    1.0    1.0
  25.3             1.0    1.0    1.0    1.0    5.0    1.0    1.0    7.0    1.0    1.0
  25.46            1.0    1.0    1.0    1.0    1.0    8.0    1.0    1.0    1.0    1.0
  25.5             1.0    1.0    1.0   11.0    1.0    1.0    6.0   10.0    1.0    1.0
  25.55            1.0    1.0   15.0    1.0   13.0   32.0    6.0    4.0    1.0    1.0
  25.61            1.0    1.0   10.0    1.0    1.0    1.0    6.0    1.0    1.0    1.0
  25.63            1.0    1.0    1.0    6.0    1.0    1.0    6.0    4.0    1.0    1.0
  25.71            1.0    1.0    1.0    1.0    1.0    1.0   11.0    1.0    1.0    1.0
  25.81            1.0    1.0    6.0   11.0    9.0    1.0   21.0    7.0    1.0    1.0
  25.94            1.0    1.0   42.0    6.0   13.0    1.0    1.0    4.0    1.0    1.0
  25.96            1.0    1.0    1.0    1.0    5.0    1.0    1.0    4.0    1.0    1.0
  26               1.0    1.0   13.0    1.0    1.0    1.0    1.0    4.0    1.0    1.0
  26.08            1.0    1.0   10.0    6.0    5.0   15.0    6.0    4.0    1.0    1.0
  26.17            1.0    1.0    1.0   11.0   13.0    1.0    1.0   13.0    1.0    1.0
  26.25            1.0    1.0   19.0    6.0    9.0    8.0   11.0    4.0    1.0    1.0
  26.4             1.0    1.0   14.0   16.0   17.0    1.0    6.0    4.0    1.0    1.0
  26.42            1.0    1.0    1.0    1.0   13.0    1.0   11.0    7.0    1.0    1.0
  26.63            1.0    1.0   10.0    6.0    1.0    7.0    1.0    1.0    1.0    1.0
  26.83            1.0    1.0   41.0    6.0    1.0   12.0    1.0    7.0    1.0    1.0
  26.87            1.0    1.0    1.0    6.0    1.0    1.0    1.0    1.0    1.0    1.0
  26.91            1.0    1.0    7.0   21.0    9.0   20.0    1.0    4.0    1.0    1.0
  26.93            1.0    1.0   37.0    1.0    5.0    1.0    1.0    4.0    1.0    1.0
  27.02            1.0    1.0   19.0   21.0    1.0    1.0    6.0    4.0    1.0    1.0
  27.2             1.0    1.0    1.0    1.0   13.0    1.0    6.0   10.0    1.0    1.0
  27.29            1.0    1.0    7.0    1.0    1.0    1.0    1.0    1.0    1.0    7.0
  27.31            1.0    1.0    1.0    1.0    5.0    1.0    1.0    4.0    1.0    1.0
  27.46            1.0    1.0   13.0    1.0    1.0    1.0    1.0    4.0    1.0    1.0
  27.51            1.0    1.0    1.0    1.0    1.0    1.0    1.0    7.0    1.0    1.0
  27.59            1.0    1.0    1.0    6.0    9.0    1.0   11.0    1.0    1.0    1.0
  27.66            1.0    1.0    1.0    6.0    5.0    1.0    1.0    4.0    1.0    1.0
  27.73            1.0    1.0   45.0    6.0    5.0    1.0    1.0    1.0    1.0    1.0
  27.78            1.0    1.0   15.0    1.0    1.0   51.0   16.0    1.0    1.0    1.0
  27.8             1.0    1.0    5.0   16.0    1.0   14.0    1.0    1.0    1.0    1.0
  27.86            1.0    1.0    9.0    1.0    1.0    1.0    6.0    7.0    1.0    1.0
  27.89            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    6.0    1.0
  28.16            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  28.18            1.0    1.0    7.0    1.0    1.0    1.0   16.0    7.0    1.0    1.0
  28.23            1.0    1.0    1.0    1.0    1.0   16.0    1.0    4.0    8.0    1.0
  28.28            1.0    1.0    1.0   11.0    1.0    1.0    1.0    1.0    1.0    1.0
  28.3             1.0    1.0    6.0    1.0    9.0    8.0    1.0    1.0    1.0    1.0
  28.32            1.0    1.0    6.0    6.0    9.0    1.0    1.0    1.0    1.0    1.0
  28.43            1.0    1.0    1.0   11.0    1.0   20.0    6.0    1.0    1.0    1.0
  28.44            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    8.0    1.0
  28.46            1.0    1.0    1.0    1.0    5.0    1.0    6.0    4.0    1.0    9.0
  28.6             1.0    1.0    1.0    6.0    1.0    1.0    1.0    4.0    1.0    1.0
  28.64            1.0    1.0    1.0    1.0    1.0    1.0    6.0    7.0    1.0    1.0
  28.65            1.0    1.0    6.0    1.0    1.0    1.0    1.0    4.0    1.0    1.0
  28.79            1.0    1.0    1.0    1.0    1.0    1.0   11.0   10.0    1.0    1.0
  28.84            1.0    1.0    1.0   11.0    9.0    6.0    1.0    1.0    1.0    1.0
  28.86            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  29               1.0    1.0    1.0   21.0    5.0    1.0    6.0    7.0    1.0    1.0
  29.07            1.0    1.0   62.0   11.0   13.0    1.0   21.0   10.0    1.0    1.0
  29.12            1.0    1.0    1.0    1.0    1.0    1.0    6.0    4.0    1.0    1.0
  29.15            1.0    1.0   13.0    6.0    9.0    1.0   21.0    7.0    1.0    1.0
  29.21            1.0    1.0   11.0    6.0    5.0    1.0    1.0    4.0    1.0    1.0
  29.41            1.0    1.0    1.0   11.0    1.0    7.0   26.0   10.0    1.0    1.0
  29.53            1.0    1.0    1.0    6.0    1.0   26.0   16.0    4.0    1.0    1.0
  29.55            1.0    1.0    9.0    1.0    1.0    1.0   11.0    4.0    1.0    1.0
  29.68            1.0    1.0    5.0    6.0    1.0    1.0    6.0    4.0    1.0    1.0
  29.73            1.0    1.0    9.0   11.0   13.0   13.0   11.0    4.0    1.0    1.0
  29.83            1.0    1.0    7.0    6.0    5.0    1.0    6.0    4.0    1.0    1.0
  30               1.0    1.0    1.0    6.0    5.0    6.0    1.0    1.0    1.0    1.0
  30.02            1.0    1.0   17.0   11.0    9.0   27.0    6.0    1.0    1.0    1.0
  30.08            1.0    1.0    1.0    1.0    1.0    1.0    1.0    4.0   13.0    1.0
  30.23            1.0    1.0    7.0   11.0    5.0    1.0    6.0    1.0    1.0    1.0
  30.36            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    9.0
  30.41            1.0    1.0   23.0    6.0    5.0    7.0   16.0   10.0    1.0    1.0
  30.46            1.0    1.0    9.0    1.0    1.0    6.0    6.0    1.0    1.0    1.0
  30.48            1.0    1.0    7.0    6.0   13.0    1.0   11.0    1.0    1.0    1.0
  30.53            1.0    1.0   12.0    6.0    1.0   11.0    6.0    4.0    1.0    1.0
  30.59            1.0    1.0    1.0    1.0    1.0    1.0    6.0    1.0    1.0    1.0
  30.61            1.0    1.0   17.0    6.0    1.0    7.0    1.0    7.0    1.0    1.0
  30.68            1.0    1.0    1.0    1.0    5.0    1.0    6.0    7.0    7.0    1.0
  30.81            1.0    1.0    6.0   11.0    1.0    1.0   31.0   13.0    1.0    1.0
  30.87            1.0    1.0    1.0    1.0    5.0    6.0   16.0    7.0    1.0    8.0
  30.89            1.0    1.0    1.0    6.0    1.0    1.0    1.0    1.0    1.0    1.0
  31.02            1.0    1.0    1.0    1.0    5.0    1.0    1.0    4.0    6.0   13.0
  31.05            1.0    1.0    1.0    1.0    1.0    1.0    6.0    7.0    1.0    1.0
  31.06            1.0    1.0    6.0    1.0    9.0   34.0    1.0    1.0    1.0    1.0
  31.11            1.0    1.0    1.0    1.0    5.0    1.0    1.0    1.0    1.0    1.0
  31.14            1.0    1.0   11.0    6.0   13.0    1.0    1.0    1.0    1.0    1.0
  31.24            1.0    1.0   34.0   21.0    5.0    1.0    6.0    1.0    1.0    1.0
  31.3             1.0    1.0   45.0    1.0    5.0   20.0    6.0    4.0    1.0    7.0
  31.32            1.0    1.0    1.0    1.0    1.0    1.0   11.0    4.0   15.0    1.0
  31.38            1.0    1.0   17.0    6.0    9.0    1.0   11.0    1.0    1.0    1.0
  31.4             1.0    1.0    1.0   21.0    9.0    1.0   11.0    1.0    1.0    8.0
  31.58            1.0    1.0    1.0    1.0    1.0    1.0    1.0    4.0    1.0    1.0
  31.62            1.0    1.0    7.0   21.0    1.0    8.0   21.0    4.0    1.0    1.0
  31.76            1.0    1.0    1.0    6.0    1.0   13.0   21.0    4.0    1.0    1.0
  31.78            1.0    1.0    1.0    1.0    5.0    1.0    1.0    7.0   13.0    8.0
  31.83            1.0    1.0    5.0    1.0    9.0    1.0    1.0    4.0    1.0    1.0
  31.89            1.0    1.0    6.0   11.0    9.0   32.0    1.0    4.0    1.0    1.0
  31.91            1.0    1.0    1.0   11.0    1.0    1.0    6.0    4.0    1.0    1.0
  31.95            1.0    1.0    1.0    1.0    1.0    1.0    1.0    4.0    1.0    8.0
  32.02            1.0    1.0    1.0    6.0   13.0    1.0   11.0   10.0    1.0    1.0
  32.2             1.0    1.0   57.0    1.0    1.0    1.0   21.0    4.0    1.0    1.0
  32.25            1.0    1.0    5.0    6.0    1.0   21.0    6.0    1.0    1.0    1.0
  32.28            1.0    1.0    1.0    1.0    1.0    1.0   11.0    4.0    1.0    1.0
  32.31            1.0    1.0    1.0    1.0    5.0    1.0    1.0    1.0    1.0    1.0
  32.45            1.0    1.0    6.0    6.0    1.0    1.0    6.0    7.0    1.0    1.0
  32.53            1.0    1.0    6.0   11.0    5.0    1.0    1.0    1.0    1.0    1.0
  32.56            1.0    1.0    6.0   11.0    1.0   12.0   11.0    4.0    1.0    1.0
  32.57            1.0    1.0    1.0    1.0    1.0    1.0   21.0    1.0    6.0    1.0
  32.65            1.0    1.0   30.0   21.0    9.0    1.0    6.0    4.0    1.0    1.0
  32.7             1.0    1.0    1.0   16.0    5.0    1.0    6.0   10.0   14.0    8.0
  32.76            1.0    1.0    1.0    1.0    5.0    7.0   11.0   25.0   13.0    7.0
  32.8             1.0    1.0    7.0    1.0    5.0    1.0    1.0    7.0    1.0    1.0
  32.89            1.0    1.0    1.0    1.0    1.0    1.0    1.0    4.0   14.0   14.0
  32.98            1.0    1.0    1.0    1.0    1.0    1.0   11.0    7.0    6.0    7.0
  33.02            1.0    1.0    1.0    1.0    9.0    1.0    1.0    4.0    1.0    1.0
  33.11            1.0    1.0   13.0    6.0    1.0    1.0    6.0    4.0    7.0    1.0
  33.12            1.0    1.0    1.0    6.0    1.0    1.0    6.0   10.0    1.0    1.0
