
Naive Bayes Classifier

                Class
Attribute           A      C      D      E      F      G      H      L      P      R
                  (0)    (0) (0.12) (0.12)  (0.1) (0.15) (0.12) (0.07) (0.15) (0.17)
=====================================================================================
OBJNUM
  42               1.0    1.0    1.0   11.0   16.0    1.0    1.0    1.0   64.0   89.0
  43               1.0    1.0    1.0   10.0   13.0    1.0    1.0    1.0   58.0   56.0
  44               1.0    1.0    1.0    9.0    7.0    1.0    1.0    1.0   43.0   50.0
  45               1.0    1.0    1.0    7.0    8.0    1.0    1.0    1.0   44.0   41.0
  46               1.0    1.0    1.0    7.0    5.0    1.0    1.0    1.0   42.0   45.0
  47               1.0    1.0    1.0    8.0    9.0    1.0    1.0    1.0   56.0   43.0
  48               1.0    1.0    1.0    5.0    6.0    1.0    1.0    1.0   39.0   40.0
  49               1.0    1.0    1.0    5.0    2.0    1.0    1.0    1.0   31.0   48.0
  50               1.0    1.0    1.0    3.0    1.0    1.0    1.0    1.0   28.0   26.0
  51               1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0   26.0   28.0
  52               1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0   24.0   36.0
  53               1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0   24.0   27.0
  54               1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0   12.0   18.0
  55               1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0   21.0   19.0
  56               1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0   15.0   13.0
  57               1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0   17.0   17.0
  58               1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    8.0    5.0
  59               1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0   12.0    5.0
  60               1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0   10.0    9.0
  61               1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    8.0   10.0
  62               1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    5.0    3.0
  63               1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0    1.0
  64               1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    4.0    1.0
  [total]         64.0   64.0 2495.0 2564.0 2064.0 3077.0 2564.0 1564.0 3053.0 3567.0

XX2
  0                1.0    1.0  651.0  661.0  688.0  836.0  656.0  661.0 1173.0  869.0
  1                1.0    1.0  153.0  178.0  158.0   82.0  195.0  174.0  178.0  347.0
  2                1.0    1.0  164.0  164.0  157.0  118.0  152.0  168.0  154.0  288.0
  3                1.0    1.0    1.0    1.0    1.0  116.0    1.0    1.0    9.0   14.0
  4                1.0    1.0    1.0    1.0    1.0   72.0    4.0    1.0   19.0   22.0
  5                1.0    1.0   15.0    1.0    1.0   76.0    4.0    1.0    9.0   20.0
  6                1.0    1.0   37.0   48.0   30.0   74.0   34.0   28.0   53.0   58.0
  7                1.0    1.0   45.0   56.0   36.0   71.0   36.0   33.0   73.0   65.0
  8                1.0    1.0   53.0   66.0   54.0   96.0   65.0   24.0   68.0   75.0
  9                1.0    1.0   83.0   63.0   45.0   95.0   91.0   19.0   45.0   79.0
  10               1.0    1.0  178.0   75.0   47.0   93.0   71.0   27.0  123.0  168.0
  11               1.0    1.0   36.0   52.0   54.0   82.0   54.0   31.0   55.0   76.0
  12               1.0    1.0   99.0   61.0   59.0   65.0   74.0   19.0   47.0  100.0
  13               1.0    1.0   50.0   76.0   50.0   89.0   84.0   31.0   66.0   89.0
  14               1.0    1.0  168.0   82.0   39.0   86.0   72.0   26.0  136.0  201.0
  15               1.0    1.0   54.0   71.0   43.0   79.0   99.0   17.0   50.0   99.0
  16               1.0    1.0  127.0   73.0   52.0   80.0   70.0   24.0   58.0  100.0
  17               1.0    1.0   90.0   66.0   38.0   68.0   76.0   21.0  119.0  217.0
  18               1.0    1.0   75.0   59.0   29.0   60.0   60.0   23.0   48.0   90.0
  19               1.0    1.0   50.0   52.0   33.0   77.0   73.0   16.0   69.0   79.0
  20               1.0    1.0   55.0   61.0   50.0   53.0   68.0   23.0   40.0   53.0
  21               1.0    1.0   45.0   57.0   41.0   74.0   81.0   18.0   92.0  108.0
  22               1.0    1.0   19.0   47.0   33.0   50.0   72.0   16.0   42.0   44.0
  23               1.0    1.0   31.0   52.0   26.0   54.0   71.0   13.0   25.0   51.0
  24               1.0    1.0   38.0   32.0   26.0   40.0   91.0   11.0   32.0   41.0
  25               1.0    1.0   24.0   38.0   31.0   50.0   73.0    7.0   26.0   22.0
  26               1.0    1.0   24.0   47.0   22.0   36.0   63.0   16.0   23.0   13.0
  27               1.0    1.0   21.0   38.0   34.0   31.0   32.0    8.0   28.0   25.0
  28               1.0    1.0   14.0   33.0   28.0   17.0    5.0   10.0   23.0   12.0
  29               1.0    1.0   19.0   37.0   15.0   19.0    3.0   13.0   20.0   12.0
  30               1.0    1.0    6.0   28.0   12.0   26.0    1.0    7.0   11.0   15.0
  31               1.0    1.0   15.0   29.0   17.0   16.0    1.0    4.0   15.0   10.0
  32               1.0    1.0    6.0   23.0   18.0   23.0    1.0    8.0   15.0   10.0
  33               1.0    1.0    3.0   17.0   12.0   21.0    1.0    3.0   10.0   12.0
  34               1.0    1.0    7.0   15.0    7.0   19.0    1.0    9.0    6.0    7.0
  35               1.0    1.0    7.0   15.0    5.0   18.0    1.0    6.0   10.0    8.0
  36               1.0    1.0    1.0   10.0    9.0   13.0    1.0    3.0   11.0    4.0
  37               1.0    1.0    2.0   16.0    9.0   13.0    1.0    6.0   12.0    2.0
  38               1.0    1.0    3.0    7.0    6.0   16.0    1.0    4.0    3.0    6.0
  39               1.0    1.0    1.0   10.0   11.0    6.0    1.0    3.0    7.0   10.0
  40               1.0    1.0    1.0    7.0    6.0    5.0    1.0    1.0    5.0    2.0
  41               1.0    1.0    1.0    9.0    3.0   10.0    1.0    2.0    8.0    7.0
  42               1.0    1.0    1.0    5.0    2.0    8.0    1.0    2.0    2.0    1.0
  43               1.0    1.0    1.0    1.0    4.0    8.0    1.0    6.0    1.0    6.0
  44               1.0    1.0    1.0    2.0    2.0    7.0    1.0    1.0    8.0    3.0
  45               1.0    1.0    1.0    3.0    1.0    3.0    1.0    1.0    3.0    3.0
  46               1.0    1.0    1.0    1.0    1.0    4.0    1.0    1.0    3.0    1.0
  47               1.0    1.0    1.0    2.0    2.0    4.0    1.0    1.0    1.0    1.0
  48               1.0    1.0    1.0    1.0    1.0    3.0    1.0    1.0    1.0    2.0
