
Logistic Regression with ridge parameter of 1.0E-8
Coefficients...
               Class
Variable         win     loss
Complexity improvement     (Sf)      19962.5146 bits      0.3694 bits/instance
Mean absolute error                      0.2278
Root mean squared error                  0.3374
Relative absolute error                 66.9086 %
Root relative squared error             81.7724 %
Total Number of Instances            54045     


=== Detailed Accuracy By Class ===

               TP Rate   FP Rate   Precision   Recall  F-Measure   ROC Area  Class
                 0.91      0.443      0.787     0.91      0.844      0.865    win
                 0.656     0.114      0.666     0.656     0.661      0.88     loss
                 0.018     0.002      0.505     0.018     0.034      0.76     draw
Weighted Avg.    0.755     0.314      0.728     0.755     0.716      0.858


=== Confusion Matrix ===

     a     b     c   <-- classified as
 31623  3078    47 |     a = win
  4725  9110    47 |     b = loss
  3824  1495    96 |     c = draw


=== Error on test data ===

Correctly Classified Instances       10388               76.8798 %
Incorrectly Classified Instances      3124               23.1202 %
Kappa statistic                          0.3392
K&B Relative Info Score             475394.7189 %
K&B Information Score                 5923.3782 bits      0.4384 bits/instance
Class complexity | order 0           15027.6521 bits      1.1122 bits/instance
Class complexity | scheme            12203.8857 bits      0.9032 bits/instance
Complexity improvement     (Sf)       2823.7663 bits      0.209  bits/instance
Mean absolute error                      0.1793
Root mean squared error                  0.3381
Relative absolute error                 56.3411 %
Root relative squared error             87.9064 %
Total Number of Instances            13512     


=== Detailed Accuracy By Class ===

               TP Rate   FP Rate   Precision   Recall  F-Measure   ROC Area  Class
                 0.945     0.659      0.786     0.945     0.859      0.856    win
                 0.434     0.058      0.656     0.434     0.522      0.879    loss
                 0.001     0          1         0.001     0.002      0.744    draw
Weighted Avg.    0.769     0.486      0.776     0.769     0.724      0.852


=== Confusion Matrix ===

    a    b    c   <-- classified as
 9193  532    0 |    a = win
 1559 1194    0 |    b = loss
  938   95    1 |    c = draw

